"Category","ItemNo","ItemName","Specification","ExpectedImage","ImagePath"
"PPR Plumbing Green Pipes & Fittings","24","Female Adapter","25mm (3/4"")","ppr_item_24.jpg","catalog_images/ppr_item_24.jpg"
"Electrician Service Price List","1","6A/16A Switch / Socket (1 Module)","Single Point","electrician_item_1.jpg","catalog_images/electrician_item_1.jpg"
"Electrician Service Price List","2","6A/16A Switch / Socket (1 Module)","Multiple Point","electrician_item_2.jpg","catalog_images/electrician_item_2.jpg"
"Electrician Service Price List","3","6A/16A Combined Switch Socket","Single Point","electrician_item_3.jpg","catalog_images/electrician_item_3.jpg"
"Electrician Service Price List","4","6A/16A Combined Switch Socket","Multiple Point","electrician_item_4.jpg","catalog_images/electrician_item_4.jpg"
"Electrician Service Price List","5","6A/16A 5 Pin Socket","Single Point","electrician_item_5.jpg","catalog_images/electrician_item_5.jpg"
"Electrician Service Price List","6","6A/16A 5 Pin Socket","Multiple Point","electrician_item_6.jpg","catalog_images/electrician_item_6.jpg"
"Electrician Service Price List","7","DB (Distribution Board) Wiring","Single Point","electrician_item_7.jpg","catalog_images/electrician_item_7.jpg"
"Electrician Service Price List","8","DB (Distribution Board) Wiring","Multiple Point","electrician_item_8.jpg","catalog_images/electrician_item_8.jpg"
"Electrician Service Price List","9","Fan Point Wiring","Single Point","electrician_item_9.jpg","catalog_images/electrician_item_9.jpg"
"Electrician Service Price List","10","Fan Point Wiring","Multiple Point","electrician_item_10.jpg","catalog_images/electrician_item_10.jpg"
"Electrician Service Price List","11","Light Point (3/4"" Box)","Single Point","electrician_item_11.jpg","catalog_images/electrician_item_11.jpg"
"Electrician Service Price List","12","Light Point (3/4"" Box)","Multiple Point","electrician_item_12.jpg","catalog_images/electrician_item_12.jpg"
"Electrician Service Price List","13","Light Point (6/8"" Box)","Single Point","electrician_item_13.jpg","catalog_images/electrician_item_13.jpg"
"Electrician Service Price List","14","Light Point (6/8"" Box)","Multiple Point","electrician_item_14.jpg","catalog_images/electrician_item_14.jpg"
"Electrician Service Price List","15","Fan + Light Point","Single Point","electrician_item_15.jpg","catalog_images/electrician_item_15.jpg"
"Electrician Service Price List","16","Fan + Light Point","Multiple Point","electrician_item_16.jpg","catalog_images/electrician_item_16.jpg"
"Electrician Service Price List","17","Tube Light Point","Single Point","electrician_item_17.jpg","catalog_images/electrician_item_17.jpg"
"Electrician Service Price List","18","Tube Light Point","Multiple Point","electrician_item_18.jpg","catalog_images/electrician_item_18.jpg"
"Electrician Service Price List","19","Exhaust Fan Point","Single Point","electrician_item_19.jpg","catalog_images/electrician_item_19.jpg"
"Electrician Service Price List","20","Exhaust Fan Point","Multiple Point","electrician_item_20.jpg","catalog_images/electrician_item_20.jpg"
"Civil Engineering Full Forms","1","RCC","Reinforced Cement Concrete","civil_fullform_1.jpg","catalog_images/civil_fullform_1.jpg"
"Civil Engineering Full Forms","2","PCC","Plain Cement Concrete","civil_fullform_2.jpg","catalog_images/civil_fullform_2.jpg"
"Civil Engineering Full Forms","3","DPC","Damp Proof Course","civil_fullform_3.jpg","catalog_images/civil_fullform_3.jpg"
"Civil Engineering Full Forms","4","PSC","Pre-Stressed Concrete","civil_fullform_4.jpg","catalog_images/civil_fullform_4.jpg"
"Civil Engineering Full Forms","5","RMC","Ready Mixed Concrete","civil_fullform_5.jpg","catalog_images/civil_fullform_5.jpg"
"Civil Engineering Full Forms","6","RBC","Reinforced Brick Concrete","civil_fullform_6.jpg","catalog_images/civil_fullform_6.jpg"
"Civil Engineering Full Forms","7","CC","Cement Concrete","civil_fullform_7.jpg","catalog_images/civil_fullform_7.jpg"
"Civil Engineering Full Forms","8","UTM","Universal Testing Machine","civil_fullform_8.jpg","catalog_images/civil_fullform_8.jpg"
"Civil Engineering Full Forms","9","AAC","Autoclaved Aerated Concrete","civil_fullform_9.jpg","catalog_images/civil_fullform_9.jpg"
"Civil Engineering Full Forms","10","NDT","Non Destructive Test","civil_fullform_10.jpg","catalog_images/civil_fullform_10.jpg"
"Civil Engineering Full Forms","11","JCB","Joseph Cyril Bamford","civil_fullform_11.jpg","catalog_images/civil_fullform_11.jpg"
"Civil Engineering Full Forms","12","EGL","Existing Ground Level","civil_fullform_12.jpg","catalog_images/civil_fullform_12.jpg"
"Civil Engineering Full Forms","13","EIA","Environmental Impact Assessment","civil_fullform_13.jpg","catalog_images/civil_fullform_13.jpg"
"Civil Engineering Full Forms","14","DPR","Detailed Project Report","civil_fullform_14.jpg","catalog_images/civil_fullform_14.jpg"
"Civil Engineering Full Forms","15","TMT","Thermo Mechanically Treated Bars","civil_fullform_15.jpg","catalog_images/civil_fullform_15.jpg"
"Civil Engineering Full Forms","16","CTD","Cold Twisted Deformed Bars","civil_fullform_16.jpg","catalog_images/civil_fullform_16.jpg"
"Civil Engineering Full Forms","17","TMX","Thermex Steel","civil_fullform_17.jpg","catalog_images/civil_fullform_17.jpg"
"Civil Engineering Full Forms","18","SD","Super Ductile Bars","civil_fullform_18.jpg","catalog_images/civil_fullform_18.jpg"
"Civil Engineering Full Forms","19","HYSD","High Yield Strength Deformed Bars","civil_fullform_19.jpg","catalog_images/civil_fullform_19.jpg"
"Civil Engineering Full Forms","20","BHK","Bedroom Hall Kitchen","civil_fullform_20.jpg","catalog_images/civil_fullform_20.jpg"
"Civil Engineering Full Forms","21","CI PIPE","Cast Iron Pipe","civil_fullform_21.jpg","catalog_images/civil_fullform_21.jpg"
"Civil Engineering Full Forms","22","CI SHEET","Corrugated Iron Sheet","civil_fullform_22.jpg","catalog_images/civil_fullform_22.jpg"
"Civil Engineering Full Forms","23","CBW","Concrete Block Work","civil_fullform_23.jpg","catalog_images/civil_fullform_23.jpg"
"Drainage Pipe Fittings","1","Socket","32mm - 160mm","drainage_item_1.jpg","catalog_images/drainage_item_1.jpg"
"Drainage Pipe Fittings","2","Elbow 90°","32mm - 160mm","drainage_item_2.jpg","catalog_images/drainage_item_2.jpg"
"Drainage Pipe Fittings","3","Elbow 45°","32mm - 160mm","drainage_item_3.jpg","catalog_images/drainage_item_3.jpg"
"Drainage Pipe Fittings","4","Tee","32mm - 160mm","drainage_item_4.jpg","catalog_images/drainage_item_4.jpg"
"Drainage Pipe Fittings","5","Y-Junction","32mm - 160mm","drainage_item_5.jpg","catalog_images/drainage_item_5.jpg"
"Drainage Pipe Fittings","6","Reducer","110x75 to 160x110","drainage_item_6.jpg","catalog_images/drainage_item_6.jpg"
"Drainage Pipe Fittings","7","Coupling","32mm - 160mm","drainage_item_7.jpg","catalog_images/drainage_item_7.jpg"
"Drainage Pipe Fittings","8","End Cap","32mm - 160mm","drainage_item_8.jpg","catalog_images/drainage_item_8.jpg"
"Drainage Pipe Fittings","9","Clean Out","50mm - 110mm","drainage_item_9.jpg","catalog_images/drainage_item_9.jpg"
"Drainage Pipe Fittings","10","P-Trap","40mm - 110mm","drainage_item_10.jpg","catalog_images/drainage_item_10.jpg"
"Drainage Pipe Fittings","11","S-Trap","40mm - 110mm","drainage_item_11.jpg","catalog_images/drainage_item_11.jpg"
"Drainage Pipe Fittings","12","Floor Drain","75mm - 110mm","drainage_item_12.jpg","catalog_images/drainage_item_12.jpg"
"Drainage Pipe Fittings","13","Waste Coupling","32mm - 160mm","drainage_item_13.jpg","catalog_images/drainage_item_13.jpg"
"Drainage Pipe Fittings","14","Bend (Long)","32mm - 160mm","drainage_item_14.jpg","catalog_images/drainage_item_14.jpg"
"Drainage Pipe Fittings","15","Bend (Short)","32mm - 160mm","drainage_item_15.jpg","catalog_images/drainage_item_15.jpg"
"Drainage Pipe Fittings","16","Access Pipe","75mm - 160mm","drainage_item_16.jpg","catalog_images/drainage_item_16.jpg"
"Drainage Pipe Fittings","17","Offset","40mm - 110mm","drainage_item_17.jpg","catalog_images/drainage_item_17.jpg"
"Drainage Pipe Fittings","18","Wye","32mm - 160mm","drainage_item_18.jpg","catalog_images/drainage_item_18.jpg"
"Drainage Pipe Fittings","19","Pipe Clip","32mm - 160mm","drainage_item_19.jpg","catalog_images/drainage_item_19.jpg"
"Drainage Pipe Fittings","20","Vent Cowl","50mm - 110mm","drainage_item_20.jpg","catalog_images/drainage_item_20.jpg"
"HAVELLS","","Conduit Pipes","20mm HEAVY DUTY CONDUIT PIPE","item_1_20mm_heavy_duty_conduit_pipe.jpg","item_images/item_1_20mm_heavy_duty_conduit_pipe.jpg"
"HAVELLS","","Conduit Pipes","25mm HEAVY DUTY CONDUIT PIPE","item_2_25mm_heavy_duty_conduit_pipe.jpg","item_images/item_2_25mm_heavy_duty_conduit_pipe.jpg"
"HAVELLS","","Conduit Pipes","32mm HEAVY DUTY CONDUIT PIPE","item_3_32mm_heavy_duty_conduit_pipe.jpg","item_images/item_3_32mm_heavy_duty_conduit_pipe.jpg"
"HAVELLS","","Conduit Pipes","40mm HEAVY DUTY CONDUIT PIPE","item_4_40mm_heavy_duty_conduit_pipe.jpg","item_images/item_4_40mm_heavy_duty_conduit_pipe.jpg"
"HAVELLS","","Long Bends","20mm LONG BEND","item_5_20mm_long_bend.jpg","item_images/item_5_20mm_long_bend.jpg"
"HAVELLS","","Long Bends","25mm LONG BEND","item_6_25mm_long_bend.jpg","item_images/item_6_25mm_long_bend.jpg"
"HAVELLS","","Long Bends","32mm LONG BEND","item_7_32mm_long_bend.jpg","item_images/item_7_32mm_long_bend.jpg"
"HAVELLS","","Long Bends","40mm LONG BEND","item_8_40mm_long_bend.jpg","item_images/item_8_40mm_long_bend.jpg"
"HAVELLS","","Bypass Bends","20mm BYPASS BEND","item_9_20mm_bypass_bend.jpg","item_images/item_9_20mm_bypass_bend.jpg"
"HAVELLS","","Bypass Bends","25mm BYPASS BEND","item_10_25mm_bypass_bend.jpg","item_images/item_10_25mm_bypass_bend.jpg"
"HAVELLS","","Bypass Bends","32mm BYPASS BEND","item_11_32mm_bypass_bend.jpg","item_images/item_11_32mm_bypass_bend.jpg"
"HAVELLS","","Fan Boxes","FAN BOX (ROUND)","item_12_fan_box_round.jpg","item_images/item_12_fan_box_round.jpg"
"HAVELLS","","Fan Boxes","FAN BOX (DEEP)","item_13_fan_box_deep.jpg","item_images/item_13_fan_box_deep.jpg"
"HAVELLS","","Concealed Boxes","3 MODULE CONCEALED BOX","item_14_3_module_concealed_box.jpg","item_images/item_14_3_module_concealed_box.jpg"
"HAVELLS","","Concealed Boxes","4 MODULE CONCEALED BOX","item_15_4_module_concealed_box.jpg","item_images/item_15_4_module_concealed_box.jpg"
"HAVELLS","","Concealed Boxes","6 MODULE CONCEALED BOX","item_16_6_module_concealed_box.jpg","item_images/item_16_6_module_concealed_box.jpg"
"HAVELLS","","Concealed Boxes","8 MODULE CONCEALED BOX","item_17_8_module_concealed_box.jpg","item_images/item_17_8_module_concealed_box.jpg"
"HAVELLS","","Concealed Boxes","12 MODULE CONCEALED BOX","item_18_12_module_concealed_box.jpg","item_images/item_18_12_module_concealed_box.jpg"
"HAVELLS","","Specialty Boxes","GANG BOX","item_19_gang_box.jpg","item_images/item_19_gang_box.jpg"
"HAVELLS","","Specialty Boxes","UNIVERSAL CONCEALED BOX","item_20_universal_concealed_box.jpg","item_images/item_20_universal_concealed_box.jpg"
"","","","","1000299716.jpg","1000299716.jpg"
"","","","","1000299716.jpg","1000299716.jpg"
"","","","","1000299716.jpg","1000299716.jpg"
"","","","","1000299716.jpg","1000299716.jpg"
"","","","","1000299716.jpg","1000299716.jpg"
"","","","","1000299716.jpg","1000299716.jpg"
"","","","","1000299716.jpg","1000299716.jpg"
"","","","","1000299716.jpg","1000299716.jpg"
"","","","","1000299716.jpg","1000299716.jpg"
"","","","","1000299716.jpg","1000299716.jpg"
"","","","","1000299716.jpg","1000299716.jpg"
"","","UltraTech Cement","OPC 53 Grade","1000303427.jpg","1000303427.jpg"
"","","Ambuja Cement","OPC 53 Grade","1000303427.jpg","1000303427.jpg"
"","","ACC Cement","OPC 53 Grade","1000303427.jpg","1000303427.jpg"
"","","Shree Cement","OPC 53 Grade","1000303427.jpg","1000303427.jpg"
"","","JK Super Cement","OPC 53 Grade","1000303427.jpg","1000303427.jpg"
"","","Ramco Cement","OPC 53 Grade","1000303427.jpg","1000303427.jpg"
"","","Dalmia Cement","OPC 53 Grade","1000303427.jpg","1000303427.jpg"
"","","Mycem Cement","OPC 53 Grade","1000303427.jpg","1000303427.jpg"
"","","Prism Cement","OPC 53 Grade","1000303427.jpg","1000303427.jpg"
"","","Sanghi Cement","OPC 53 Grade","1000303427.jpg","1000303427.jpg"
